DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2023-12-01 00:00:00,99.065,99.035,99.095,20261200,20270300,20260900
2023-12-04 00:00:00,99.1,99.07,99.13,20261200,20270300,20260900
2023-12-05 00:00:00,99.08,99.055,99.1,20261200,20270300,20260900
2023-12-06 00:00:00,99.075,99.045,99.105,20261200,20270300,20260900
2023-12-07 00:00:00,99.05,99.035,99.07,20261200,20270300,20260900
2023-12-08 00:00:00,98.99,98.965,99.015,20261200,20270300,20260900
2023-12-11 00:00:00,98.99,98.96,99.015,20261200,20270300,20260900
2023-12-12 00:00:00,99.03,99.01,99.05,20270300,20270600,20261200
2023-12-13 00:00:00,99.045,99.02,99.07,20270300,20270600,20261200
2023-12-14 00:00:00,99.105,99.08,99.135,20270300,20270600,20261200
2023-12-15 00:00:00,99.13,99.11,99.145,20270300,20270600,20261200
2023-12-18 00:00:00,99.075,99.05,99.1,20270300,20270600,20261200
2023-12-19 00:00:00,99.065,99.04,99.09,20270300,20270600,20261200
2023-12-20 00:00:00,99.05,99.025,99.07,20270300,20270600,20261200
2023-12-21 00:00:00,98.98,98.96,98.995,20270300,20270600,20261200
2023-12-22 00:00:00,99.005,98.99,99.015,20270300,20270600,20261200
2023-12-26 00:00:00,99.005,98.99,99.015,20270300,20270600,20261200
2023-12-27 00:00:00,99.025,99.01,99.04,20270300,20270600,20261200
2023-12-28 00:00:00,99.025,99.005,99.045,20270300,20270600,20261200
2023-12-29 00:00:00,98.98,98.955,99.005,20270300,20270600,20261200
2024-01-02 00:00:00,98.98,98.955,99.005,20270300,20270600,20261200
2024-01-03 00:00:00,98.955,98.94,98.97,20270300,20270600,20261200
2024-01-04 00:00:00,98.855,98.8,98.865,20270300,20270600,20261200
2024-01-05 00:00:00,98.87,98.82,98.86,20270300,20270600,20261200
2024-01-08 00:00:00,98.885,98.83,98.875,20270300,20270600,20261200
2024-01-09 00:00:00,98.855,98.805,98.85,20270300,20270600,20261200
